negozio,data,vendite
LBM,12/03/2025,2825
LRM,12/03/2025,1065.58
MILOLD,12/03/2025,1020.49
NBS,12/03/2025,5320.84
NYC,12/03/2025,6490
PAR,12/03/2025,6530.41
SRV,12/03/2025,639.34
BHR,13/03/2025,15680
BIR,13/03/2025,1678.75
ECI,13/03/2025,557.85
FLO,13/03/2025,1331.97
GLA,13/03/2025,1454.17
LBM,13/03/2025,2983.33
LRM,13/03/2025,2032.77
MAD,13/03/2025,1013.22
MILOLD,13/03/2025,3112.71
NBS,13/03/2025,3504.17
NYC,13/03/2025,2740
PAR,13/03/2025,4008.33
ROM,13/03/2025,1065.58
SRV,13/03/2025,1384.43
BHR,14/03/2025,10109
BIR,14/03/2025,2782.07
ECI,14/03/2025,2987.6
GLA,14/03/2025,958.33
LBM,14/03/2025,3120.84
LRM,14/03/2025,594.26
MAD,14/03/2025,822.31
MILOLD,14/03/2025,1655.73
NBS,14/03/2025,4283.33
NYC,14/03/2025,3785
ROM,14/03/2025,2758.2
SRV,14/03/2025,309.84
BHR,15/03/2025,4100
BIR,15/03/2025,2967.92
ECI,15/03/2025,5858.46
FLO,15/03/2025,1754.09
GLA,15/03/2025,604.17
LBM,15/03/2025,3350
LRM,15/03/2025,1717.21
MAD,15/03/2025,3719
MILOLD,15/03/2025,3279.92
NBS,15/03/2025,2637.5
NYC,15/03/2025,1815
PAR,15/03/2025,4029.17
ROM,15/03/2025,4047.13
SRV,15/03/2025,4021.71
BHR,16/03/2025,9205
BIR,16/03/2025,1396.67
ECI,16/03/2025,3499.99
FLO,16/03/2025,1963.12
GLA,16/03/2025,1104.17
LBM,16/03/2025,4512.51
MAD,16/03/2025,1049.59
NBS,16/03/2025,1241.67
PAR,16/03/2025,7158.34
ROM,16/03/2025,2364.75
SRV,16/03/2025,1413.94
BHR,17/03/2025,9560
BIR,17/03/2025,694.17
ECI,17/03/2025,1008.27
FLO,17/03/2025,3213.13
GLA,17/03/2025,1183.33
LBM,17/03/2025,2750
LRM,17/03/2025,569.67
NBS,17/03/2025,3312.5
NYC,17/03/2025,7936
PAR,17/03/2025,2325
ROM,17/03/2025,1618.86
SRV,17/03/2025,1758.19
BHR,18/03/2025,8435
BIR,18/03/2025,3114.58
ECI,18/03/2025,950.41
FLO,18/03/2025,325.82
LBM,18/03/2025,3262.51
LRM,18/03/2025,1512.29
MAD,18/03/2025,483.47
MILOLD,18/03/2025,1163.93
NBS,18/03/2025,8337.51
NYC,18/03/2025,1620.5
PAR,18/03/2025,3929.17
ROM,18/03/2025,2621.71
SRV,18/03/2025,2766.38
BHR,19/03/2025,7015
BIR,19/03/2025,3390
ECI,19/03/2025,1735.53
FLO,19/03/2025,2823.76
GLA,19/03/2025,958.33
LBM,19/03/2025,1745.84
LRM,19/03/2025,2389.34
MAD,19/03/2025,554.55
MILOLD,19/03/2025,569.67
NBS,19/03/2025,2339.17
NYC,19/03/2025,3180
PAR,19/03/2025,1141.67
ROM,19/03/2025,959.02
SRV,19/03/2025,1352.45
BHR,20/03/2025,3895
BIR,20/03/2025,3807.51
ECI,20/03/2025,6516.51
FLO,20/03/2025,3102.45
GLA,20/03/2025,3645.83
LBM,20/03/2025,1406.25
LRM,20/03/2025,651.64
MAD,20/03/2025,491.74
MILOLD,20/03/2025,1774.59
NBS,20/03/2025,3648.75
NYC,20/03/2025,7510
PAR,20/03/2025,579.17
ROM,20/03/2025,696.72
SRV,20/03/2025,3420.49
BHR,21/03/2025,8520
BIR,21/03/2025,2210.42
ECI,21/03/2025,1834.71
FLO,21/03/2025,2118.86
GLA,21/03/2025,2945.83
LBM,21/03/2025,2262.51
LRM,21/03/2025,569.67
MAD,21/03/2025,2060.95
MILOLD,21/03/2025,10081.96
NBS,21/03/2025,9829.99
NYC,21/03/2025,9697.5
PAR,21/03/2025,3903.35
SRV,21/03/2025,2631.14
BHR,22/03/2025,10932
BIR,22/03/2025,1137.08
ECI,22/03/2025,491.74
FLO,22/03/2025,3355.74
GLA,22/03/2025,1929.17
LBM,22/03/2025,2679.17
LRM,22/03/2025,3774.58
MAD,22/03/2025,574.38
MILOLD,22/03/2025,6200.82
NBS,22/03/2025,6645.85
NYC,22/03/2025,3620.5
PAR,22/03/2025,2841.66
ROM,22/03/2025,1188.53
SRV,22/03/2025,2766.38
BHR,23/03/2025,9487.5
BIR,23/03/2025,5063.33
ECI,23/03/2025,574.38
FLO,23/03/2025,3654.91
GLA,23/03/2025,1833.34
LBM,23/03/2025,8325.01
LRM,23/03/2025,1286.89
MAD,23/03/2025,1508.26
NBS,23/03/2025,5920.84
PAR,23/03/2025,5124.99
ROM,23/03/2025,1680.33
SRV,23/03/2025,2923.77
BHR,24/03/2025,1450
BIR,24/03/2025,701.67
ECI,24/03/2025,2954.55
FLO,24/03/2025,4402.88
GLA,24/03/2025,1704.17
LBM,24/03/2025,3595.85
MAD,24/03/2025,3731.4
NBS,24/03/2025,2979.17
NYC,24/03/2025,4535
PAR,24/03/2025,1537.5
ROM,24/03/2025,1700.82
SRV,24/03/2025,860.65
BHR,25/03/2025,5835
BIR,25/03/2025,1217.5
ECI,25/03/2025,524.79
FLO,25/03/2025,4569.69
GLA,25/03/2025,958.33
LBM,25/03/2025,1537.5
LRM,25/03/2025,6341.81
MAD,25/03/2025,1231.4
MILOLD,25/03/2025,2680.33
NBS,25/03/2025,7348.33
NYC,25/03/2025,4225
PAR,25/03/2025,2291.66
ROM,25/03/2025,4792.62
SRV,25/03/2025,1897.13
BHR,26/03/2025,4690
BIR,26/03/2025,1534.16
ECI,26/03/2025,2136.36
FLO,26/03/2025,3290.98
GLA,26/03/2025,1183.34
LBM,26/03/2025,1745.84
LRM,26/03/2025,569.67
MAD,26/03/2025,657.85
MILOLD,26/03/2025,484.22
NBS,26/03/2025,5094.37
NYC,26/03/2025,4115.5
PAR,26/03/2025,12879.8
ROM,26/03/2025,1430.33
SRV,26/03/2025,4013.11
BHR,27/03/2025,14060
BIR,27/03/2025,2110.83
ECI,27/03/2025,7367.78
FLO,27/03/2025,438.52
LBM,27/03/2025,3308.33
LRM,27/03/2025,3718.03
MAD,27/03/2025,1289.26
MILOLD,27/03/2025,2206.14
NBS,27/03/2025,4071.66
NYC,27/03/2025,2400
PAR,27/03/2025,4354.8
ROM,27/03/2025,1844.26
SRV,27/03/2025,1696.71
BHR,28/03/2025,7961
BIR,28/03/2025,2730.83
ECI,28/03/2025,4144.63
FLO,28/03/2025,2430.32
GLA,28/03/2025,2537.5
LBM,28/03/2025,3491.68
LRM,28/03/2025,553.28
MAD,28/03/2025,2417.35
MILOLD,28/03/2025,5380.14
NBS,28/03/2025,5384.8
NYC,28/03/2025,6678.75
PAR,28/03/2025,4100
ROM,28/03/2025,1922.14
SRV,28/03/2025,2237.69
BHR,29/03/2025,25475
BIR,29/03/2025,1305
ECI,29/03/2025,983.48
FLO,29/03/2025,1188.53
GLA,29/03/2025,1987.5
LBM,29/03/2025,4254.17
LRM,29/03/2025,1700.82
MILOLD,29/03/2025,7077.84
NBS,29/03/2025,6878.32
NYC,29/03/2025,5490
PAR,29/03/2025,17087.5
ROM,29/03/2025,6299.19
SRV,29/03/2025,2631.15
BHR,30/03/2025,12570
BIR,30/03/2025,3142.08
ECI,30/03/2025,2016.53
GLA,30/03/2025,979.17
LBM,30/03/2025,2725
LRM,30/03/2025,487.7
MAD,30/03/2025,1475.22
MILOLD,30/03/2025,4356.55
NBS,30/03/2025,1125
PAR,30/03/2025,3895.83
ROM,30/03/2025,6803.27
SRV,30/03/2025,3290.16
BHR,31/03/2025,9530
BIR,31/03/2025,3150
ECI,31/03/2025,1623.97
FLO,31/03/2025,1032.78
GLA,31/03/2025,2116.67
LBM,31/03/2025,11154.18
LRM,31/03/2025,1721.31
MAD,31/03/2025,537.19
MILOLD,31/03/2025,4803.69
NBS,31/03/2025,4081.26
NYC,31/03/2025,6895
PAR,31/03/2025,6483.33
ROM,31/03/2025,3745.89
SRV,31/03/2025,3295.07
BHR,01/04/2025,3275
BIR,01/04/2025,3561.66
ECI,01/04/2025,2434.29
FLO,01/04/2025,3029.09
GLA,01/04/2025,1333.33
LBM,01/04/2025,7545.84
LRM,01/04/2025,2147.54
MAD,01/04/2025,619.83
MILOLD,01/04/2025,2456.97
NBS,01/04/2025,5933.33
NYC,01/04/2025,9330
PAR,01/04/2025,2716.67
ROM,01/04/2025,4414.55
SRV,01/04/2025,4913.09
BHR,02/04/2025,2710
BIR,02/04/2025,3205.83
ECI,02/04/2025,4090.9
FLO,02/04/2025,5303.28
GLA,02/04/2025,1491.67
LBM,02/04/2025,1683.34
LRM,02/04/2025,3557.38
MAD,02/04/2025,3037.18
MILOLD,02/04/2025,7295.07
NBS,02/04/2025,4643.75
NYC,02/04/2025,4415
PAR,02/04/2025,7070.84
ROM,02/04/2025,1922.13
SRV,02/04/2025,7465.56
BHR,03/04/2025,1750
BIR,03/04/2025,1685.41
ECI,03/04/2025,3214.87
FLO,03/04/2025,1959.02
GLA,03/04/2025,5487.5
LBM,03/04/2025,3471.66
LRM,03/04/2025,1139.34
MAD,03/04/2025,640.5
MILOLD,03/04/2025,2434.43
NBS,03/04/2025,8821.24
NYC,03/04/2025,-1455
PAR,03/04/2025,4854.16
ROM,03/04/2025,3196.71
SRV,03/04/2025,8301.64
BHR,04/04/2025,2890
BIR,04/04/2025,3864.17
ECI,04/04/2025,3223.13
FLO,04/04/2025,21847.93
GLA,04/04/2025,3508.33
LBM,04/04/2025,2700
LRM,04/04/2025,3397.54
MAD,04/04/2025,1690.08
MILOLD,04/04/2025,9266.42
NBS,04/04/2025,4895.83
NYC,04/04/2025,3685
PAR,04/04/2025,7855
ROM,04/04/2025,6079.1
SRV,04/04/2025,8045.88
STT,04/04/2025,579.17
BHR,05/04/2025,2045
BIR,05/04/2025,2331.67
ECI,05/04/2025,4917.35
FLO,05/04/2025,5789.77
GLA,05/04/2025,6341.67
LBM,05/04/2025,11241.67
LRM,05/04/2025,2823.77
MILOLD,05/04/2025,7279.51
NBS,05/04/2025,5570.83
NYC,05/04/2025,12205
PAR,05/04/2025,7627.5
ROM,05/04/2025,6315.56
SRV,05/04/2025,3068.85
STT,05/04/2025,4958.34
BHR,06/04/2025,12791.5
BIR,06/04/2025,957.5
ECI,06/04/2025,5400.81
FLO,06/04/2025,1627.04
GLA,06/04/2025,2154.16
LBM,06/04/2025,8666.66
LRM,06/04/2025,5372.95
MAD,06/04/2025,66.11
MIL,06/04/2025,2327.87
NBS,06/04/2025,5637.51
PAR,06/04/2025,4995.42
ROM,06/04/2025,2983.62
SRV,06/04/2025,5363.1
STT,06/04/2025,1866.67
BHR,07/04/2025,15710
BIR,07/04/2025,2912.92
ECI,07/04/2025,4776.87
FLO,07/04/2025,2741.81
GLA,07/04/2025,2929.16
LBM,07/04/2025,5362.51
LRM,07/04/2025,2971.31
MIL,07/04/2025,8637.69
NBS,07/04/2025,3573.76
NYC,07/04/2025,-455
PAR,07/04/2025,9800.01
ROM,07/04/2025,1721.31
SRV,07/04/2025,4536.86
STT,07/04/2025,579.17
BHR,08/04/2025,13025
BIR,08/04/2025,2285.84
ECI,08/04/2025,4152.89
FLO,08/04/2025,3481.15
GLA,08/04/2025,745.83
LBM,08/04/2025,3433.33
LRM,08/04/2025,5823.78
MAD,08/04/2025,619.83
MIL,08/04/2025,2692.63
NBS,08/04/2025,5110.63
NYC,08/04/2025,4115.75
PAR,08/04/2025,7472.93
ROM,08/04/2025,1024.59
SRV,08/04/2025,5597.93
STT,08/04/2025,2987.91
BHR,09/04/2025,12195
BIR,09/04/2025,2335
ECI,09/04/2025,1557.86
FLO,09/04/2025,3163.94
GLA,09/04/2025,2662.49
LBM,09/04/2025,2345.83
LRM,09/04/2025,4688.5
MAD,09/04/2025,1933.89
MIL,09/04/2025,4008.21
NBS,09/04/2025,10279.17
NYC,09/04/2025,2345
PAR,09/04/2025,4521.25
ROM,09/04/2025,4381.14
SRV,09/04/2025,2102.45
STT,09/04/2025,2366.67
MAR,10/04/2025,491.74
BHR,10/04/2025,13616.5
BIR,10/04/2025,2133.34
ECI,10/04/2025,1214.88
FLO,10/04/2025,2048.15
GLA,10/04/2025,3950.01
LBM,10/04/2025,662.5
LRM,10/04/2025,2963.11
MAD,10/04/2025,2622.31
MIL,10/04/2025,6639.34
NBS,10/04/2025,4214.17
NYC,10/04/2025,4345
PAR,10/04/2025,4192.92
ROM,10/04/2025,2110.24
SRV,10/04/2025,3636.89
STT,10/04/2025,1433.33
MAR,11/04/2025,698.35
BHR,11/04/2025,7590
BIR,11/04/2025,2188.34
CAS,11/04/2025,4235.54
ECI,11/04/2025,3979.34
FLO,11/04/2025,1294.68
GLA,11/04/2025,2695.82
LBM,11/04/2025,3191.67
LRM,11/04/2025,4971.32
MAD,11/04/2025,619.83
MIL,11/04/2025,8085.67
NBS,11/04/2025,7883.33
NYC,11/04/2025,5065.5
PAR,11/04/2025,8110.41
ROM,11/04/2025,2938.53
SRV,11/04/2025,2055.73
STT,11/04/2025,745.83
BHR,12/04/2025,8020
BIR,12/04/2025,1854.99
CAS,12/04/2025,3115.69
ECI,12/04/2025,3326.44
FLO,12/04/2025,1758.19
GLA,12/04/2025,4387.5
LBM,12/04/2025,3833.33
LRM,12/04/2025,1967.21
MAD,12/04/2025,1177.68
MIL,12/04/2025,10899.18
NBS,12/04/2025,512.5
NYC,12/04/2025,4310
PAR,12/04/2025,7666.66
ROM,12/04/2025,4795.09
SRV,12/04/2025,1259.01
STT,12/04/2025,1204.17
BHR,13/04/2025,6910
BIR,13/04/2025,1467.5
CAS,13/04/2025,2235.53
ECI,13/04/2025,3392.56
FLO,13/04/2025,3827.88
GLA,13/04/2025,1358.75
LBM,13/04/2025,3891.67
LRM,13/04/2025,1057.37
MAD,13/04/2025,1669.42
MIL,13/04/2025,2278.69
NBS,13/04/2025,7012.5
PAR,13/04/2025,2641.67
ROM,13/04/2025,1983.6
SRV,13/04/2025,5931.13
STT,13/04/2025,1512.5
MAR,14/04/2025,5053.72
BHR,14/04/2025,11115
BIR,14/04/2025,1618.33
CAS,14/04/2025,1933.88
ECI,14/04/2025,557.85
FLO,14/04/2025,2358.61
GLA,14/04/2025,1437.5
LBM,14/04/2025,2454.79
LRM,14/04/2025,942.62
MAD,14/04/2025,2206.61
MIL,14/04/2025,6927.26
NBS,14/04/2025,4198.34
NYC,14/04/2025,9890
PAR,14/04/2025,7387.48
ROM,14/04/2025,3614.76
SRV,14/04/2025,17279.41
STT,14/04/2025,2237.91
BHR,15/04/2025,11380
BIR,15/04/2025,937.5
CAS,15/04/2025,4267.35
ECI,15/04/2025,5814.03
FLO,15/04/2025,4774.59
GLA,15/04/2025,604.17
LBM,15/04/2025,958.33
LRM,15/04/2025,1758.19
MAD,15/04/2025,1735.53
MIL,15/04/2025,10122.96
NBS,15/04/2025,966.67
NYC,15/04/2025,6290
PAR,15/04/2025,829.17
ROM,15/04/2025,4849.17
SRV,15/04/2025,3115.57
STT,15/04/2025,2179.17
MAR,16/04/2025,2177.69
BHR,16/04/2025,9870.5
BIR,16/04/2025,4598.75
CAS,16/04/2025,3256.19
ECI,16/04/2025,4892.55
FLO,16/04/2025,10856.48
GLA,16/04/2025,958.33
LBM,16/04/2025,4116.67
LRM,16/04/2025,2065.58
MAD,16/04/2025,1442.14
MIL,16/04/2025,893.44
NBS,16/04/2025,5965.83
NYC,16/04/2025,9895.5
PAR,16/04/2025,2175.01
ROM,16/04/2025,2611.26
SRV,16/04/2025,4672.11
STT,16/04/2025,2491.67
MAR,17/04/2025,1111.57
BHR,17/04/2025,8515
BIR,17/04/2025,5711.65
CAS,17/04/2025,619.83
ECI,17/04/2025,1297.52
FLO,17/04/2025,2609.44
GLA,17/04/2025,2800
LBM,17/04/2025,2449.99
LRM,17/04/2025,1570.07
MAD,17/04/2025,574.38
MIL,17/04/2025,4807.38
NBS,17/04/2025,9796.26
NYC,17/04/2025,7245
PAR,17/04/2025,7279.19
ROM,17/04/2025,1717.22
SRV,17/04/2025,5036.05
STT,17/04/2025,1287.5
MAR,18/04/2025,409.09
BHR,18/04/2025,13025
BIR,18/04/2025,3783.33
BMP,18/04/2025,2185.5
CAS,18/04/2025,1685.95
ECI,18/04/2025,950.41
FLO,18/04/2025,979.51
GLA,18/04/2025,1708.33
LBM,18/04/2025,7637.51
LRM,18/04/2025,1881.15
MAD,18/04/2025,3442.15
MIL,18/04/2025,1184.42
NBS,18/04/2025,5079.16
NYC,18/04/2025,11356.25
PAR,18/04/2025,9820.83
ROM,18/04/2025,6905.76
SRV,18/04/2025,2188.53
STT,18/04/2025,3237.5
BHR,19/04/2025,6452.5
BIR,19/04/2025,3618.33
BMP,19/04/2025,3955.5
CAP,19/04/2025,532.79
CAS,19/04/2025,1111.57
ECI,19/04/2025,1640.5
FLO,19/04/2025,3782.78
GLA,19/04/2025,3775.42
LBM,19/04/2025,4366.66
LRM,19/04/2025,3286.88
MAD,19/04/2025,3719
MIL,19/04/2025,2004.1
NBS,19/04/2025,7366.67
NYC,19/04/2025,7722.5
PAR,19/04/2025,13741.67
ROM,19/04/2025,7966.81
SRV,19/04/2025,7190.13
STT,19/04/2025,1396.67
BIR,20/04/2025,260
BMP,20/04/2025,495
CAP,20/04/2025,1901.64
CAS,20/04/2025,4314.05
ECI,20/04/2025,1871.9
GLA,20/04/2025,2033.33
LRM,20/04/2025,1139.34
MAD,20/04/2025,2590.9
MIL,20/04/2025,1311.47
PAR,20/04/2025,11083.74
ROM,20/04/2025,1427.25
STT,20/04/2025,4195.84
BHR,21/04/2025,7375
BIR,21/04/2025,3819.16
BMP,21/04/2025,2067
CAS,21/04/2025,822.31
ECI,21/04/2025,2144.62
GLA,21/04/2025,1454.17
LBM,21/04/2025,3491.67
LRM,21/04/2025,1057.37
MAD,21/04/2025,1917.35
MIL,21/04/2025,3774.57
NBS,21/04/2025,4360.42
NYC,21/04/2025,5445
PAR,21/04/2025,2633.32
ROM,21/04/2025,1672.12
SRV,21/04/2025,4128.68
STT,21/04/2025,2350
MAR,22/04/2025,1954.54
BHR,22/04/2025,13440
BIR,22/04/2025,2884.17
BMP,22/04/2025,495
CAP,22/04/2025,1528.68
CAS,22/04/2025,4115.72
ECI,22/04/2025,4111.59
FLO,22/04/2025,2754.11
GLA,22/04/2025,2491.67
LBM,22/04/2025,1567.09
LRM,22/04/2025,3106.56
MAD,22/04/2025,2578.51
MIL,22/04/2025,1266.4
NBS,22/04/2025,3072.5
NYC,22/04/2025,6410
PAR,22/04/2025,1620.83
ROM,22/04/2025,3500
SRV,22/04/2025,4118.83
STT,22/04/2025,4595.83
MAR,23/04/2025,1814.05
BHR,23/04/2025,6610
BIR,23/04/2025,2861.67
BMP,23/04/2025,1905
CAS,23/04/2025,900.83
ECI,23/04/2025,2702.07
FLO,23/04/2025,1024.59
GLA,23/04/2025,-933.34
LBM,23/04/2025,954.17
LRM,23/04/2025,1901.64
MAD,23/04/2025,1897.1
MIL,23/04/2025,2668.02
NBS,23/04/2025,2778.74
NYC,23/04/2025,3997.5
PAR,23/04/2025,4262.5
ROM,23/04/2025,4750
SRV,23/04/2025,4276.21
STT,23/04/2025,541.67
MAR,24/04/2025,1111.57
BHR,24/04/2025,10200
BIR,24/04/2025,1497.92
BMP,24/04/2025,750
CAS,24/04/2025,537.19
ECI,24/04/2025,4480.16
FLO,24/04/2025,4172.13
GLA,24/04/2025,2319.79
LBM,24/04/2025,4745.83
LRM,24/04/2025,2372.95
MAD,24/04/2025,739.67
MIL,24/04/2025,651.64
NBS,24/04/2025,4502.91
NYC,24/04/2025,5745
PAR,24/04/2025,7700.84
ROM,24/04/2025,1610.65
SRV,24/04/2025,3270.48
STT,24/04/2025,3837.51
BHR,25/04/2025,8595.5
BIR,25/04/2025,2353.74
BMP,25/04/2025,3000
CAP,25/04/2025,733.61
CAS,25/04/2025,1194.21
ECI,25/04/2025,6297.52
FLO,25/04/2025,5098.36
GLA,25/04/2025,3235.42
LBM,25/04/2025,3258.33
LRM,25/04/2025,2897.54
MAD,25/04/2025,14.87
MIL,25/04/2025,7069.67
NBS,25/04/2025,3632.5
NYC,25/04/2025,10501
PAR,25/04/2025,10405.83
ROM,25/04/2025,3356.56
SRV,25/04/2025,2759.01
STT,25/04/2025,2262.92
MAR,26/04/2025,1028.93
BHR,26/04/2025,12745
BIR,26/04/2025,2896.24
BMP,26/04/2025,1950
CAS,26/04/2025,4797.51
ECI,26/04/2025,8376.44
FLO,26/04/2025,2635.25
GLA,26/04/2025,4629.17
LBM,26/04/2025,1904.17
LRM,26/04/2025,2409.83
MAD,26/04/2025,2760.33
MIL,26/04/2025,2700.82
NBS,26/04/2025,3570.83
NYC,26/04/2025,5681
PAR,26/04/2025,6945.82
ROM,26/04/2025,1938.52
SRV,26/04/2025,4574.57
STT,26/04/2025,687.5
BHR,27/04/2025,15985.5
BIR,27/04/2025,2706.25
CAS,27/04/2025,5028.92
ECI,27/04/2025,1487.6
FLO,27/04/2025,5094.26
GLA,27/04/2025,1141.67
LBM,27/04/2025,2762.5
LRM,27/04/2025,942.62
MAD,27/04/2025,950.41
MIL,27/04/2025,2786.89
NBS,27/04/2025,2616.66
PAR,27/04/2025,3533.33
ROM,27/04/2025,569.67
SRV,27/04/2025,4815.56
STT,27/04/2025,1120.84
MAR,28/04/2025,1475.22
BHR,28/04/2025,14371.5
BIR,28/04/2025,1711.25
BMP,28/04/2025,1452
CAP,28/04/2025,635.25
CAS,28/04/2025,574.38
ECI,28/04/2025,2161.16
FLO,28/04/2025,1266.4
GLA,28/04/2025,1783.33
LBM,28/04/2025,2816.67
LRM,28/04/2025,487.7
MIL,28/04/2025,2188.53
NBS,28/04/2025,5039.59
NYC,28/04/2025,7165
PAR,28/04/2025,1370.83
ROM,28/04/2025,3598.36
SRV,28/04/2025,2262.28
STT,28/04/2025,2970.84
MAR,29/04/2025,574.38
BHR,29/04/2025,4430
BIR,29/04/2025,2890.82
BMP,29/04/2025,600
CAS,29/04/2025,1731.4
ECI,29/04/2025,6328.91
FLO,29/04/2025,2239.36
GLA,29/04/2025,1891.66
LBM,29/04/2025,4584.59
LRM,29/04/2025,2122.95
MAD,29/04/2025,-702.47
MIL,29/04/2025,2659.83
NBS,29/04/2025,4208.34
NYC,29/04/2025,10260
PAR,29/04/2025,7441.67
ROM,29/04/2025,5094.27
SRV,29/04/2025,811.47
STT,29/04/2025,1167.08
MAR,30/04/2025,2132.24
BHR,30/04/2025,2090
BIR,30/04/2025,2130.84
BMP,30/04/2025,270
CAP,30/04/2025,651.64
CAS,30/04/2025,-223.14
ECI,30/04/2025,7616.93
FLO,30/04/2025,487.7
GLA,30/04/2025,3537.49
LBM,30/04/2025,2029.18
LRM,30/04/2025,1918.03
MAD,30/04/2025,491.74
MIL,30/04/2025,4594.26
NBS,30/04/2025,3420.84
NYC,30/04/2025,1020
PAR,30/04/2025,10025.41
ROM,30/04/2025,2906.14
SRV,30/04/2025,2622.12
STT,30/04/2025,3225.01
BHR,01/05/2025,15890
BIR,01/05/2025,8304.58
BMP,01/05/2025,495
CAP,01/05/2025,1409.83
FLO,01/05/2025,2426.24
LRM,01/05/2025,4356.55
MIL,01/05/2025,2856.55
NBS,01/05/2025,8528.33
NYC,01/05/2025,12635
ROM,01/05/2025,1057.37
SRV,01/05/2025,6715.54
MAR,02/05/2025,3095.04
BHR,02/05/2025,2120
BIR,02/05/2025,315
BMP,02/05/2025,2820
CAS,02/05/2025,826.45
ECI,02/05/2025,1723.14
FLO,02/05/2025,3475.41
GLA,02/05/2025,2554.16
LBM,02/05/2025,6329.17
LRM,02/05/2025,2602.46
MAD,02/05/2025,1132.23
MIL,02/05/2025,6561.48
NBS,02/05/2025,6693.74
NYC,02/05/2025,11511.5
PAR,02/05/2025,6649.99
ROM,02/05/2025,3950.83
SRV,02/05/2025,1618.85
STT,02/05/2025,3695.84
MAR,03/05/2025,5252.07
BHR,03/05/2025,5980
BIR,03/05/2025,1658.33
BMP,03/05/2025,450
CAP,03/05/2025,569.67
CAS,03/05/2025,4652.89
ECI,03/05/2025,3975.2
FLO,03/05/2025,6631.14
GLA,03/05/2025,3225.83
LBM,03/05/2025,1687.5
LRM,03/05/2025,1741.8
MIL,03/05/2025,2036.88
NBS,03/05/2025,3858.34
NYC,03/05/2025,4445
PAR,03/05/2025,9989.57
ROM,03/05/2025,7353.68
SRV,03/05/2025,3505.3
STT,03/05/2025,13204.58
BHR,04/05/2025,9400
BIR,04/05/2025,2657.92
BMP,04/05/2025,3000
CAP,04/05/2025,1799.18
CAS,04/05/2025,4801.65
ECI,04/05/2025,2871.9
FLO,04/05/2025,2756.14
GLA,04/05/2025,2616.66
LBM,04/05/2025,8472.93
MAD,04/05/2025,1644.62
MIL,04/05/2025,5946.73
NBS,04/05/2025,1616.67
PAR,04/05/2025,3916.67
ROM,04/05/2025,2979.51
SRV,04/05/2025,4652.44
STT,04/05/2025,3991.67
MAR,05/05/2025,2223.15
BHR,05/05/2025,4290
BIR,05/05/2025,2481.66
CAP,05/05/2025,1954.91
CAS,05/05/2025,6136.36
ECI,05/05/2025,1851.24
GLA,05/05/2025,5454.15
LBM,05/05/2025,8029.17
MAD,05/05/2025,591.32
MIL,05/05/2025,6920.08
NBS,05/05/2025,2552.91
NYC,05/05/2025,3545
PAR,05/05/2025,5696.66
ROM,05/05/2025,2954.92
SRV,05/05/2025,688.52
STT,05/05/2025,1850
MAR,06/05/2025,537.19
BHR,06/05/2025,3885
BIR,06/05/2025,1496.25
CAP,06/05/2025,438.93
CAS,06/05/2025,1157.02
ECI,06/05/2025,2371.9
FLO,06/05/2025,7597.34
GLA,06/05/2025,-25
LBM,06/05/2025,4042.09
LRM,06/05/2025,2327.87
MIL,06/05/2025,4193.03
NBS,06/05/2025,6000
NYC,06/05/2025,8668.25
PAR,06/05/2025,5580.84
ROM,06/05/2025,10069.65
SRV,06/05/2025,1878.68
STT,06/05/2025,2054.16
BHR,07/05/2025,6620
BIR,07/05/2025,2012.08
BMP,07/05/2025,1920
CAP,07/05/2025,3532.79
CAS,07/05/2025,61.98
ECI,07/05/2025,2338.84
FLO,07/05/2025,1717.21
GLA,07/05/2025,1741.66
LBM,07/05/2025,8195.83
LRM,07/05/2025,1221.31
MAD,07/05/2025,483.47
MIL,07/05/2025,3725.41
NBS,07/05/2025,10068.35
NYC,07/05/2025,9532
PAR,07/05/2025,7120.83
ROM,07/05/2025,553.28
SRV,07/05/2025,1401.63
STT,07/05/2025,1120.84
MAR,08/05/2025,7161.15
BHR,08/05/2025,11135
BIR,08/05/2025,3035.42
BMP,08/05/2025,1140
CAP,08/05/2025,1467.22
CAS,08/05/2025,1066.12
ECI,08/05/2025,4053.72
FLO,08/05/2025,6663.94
GLA,08/05/2025,1408.34
LBM,08/05/2025,2362.5
LRM,08/05/2025,1631.15
MAD,08/05/2025,657.02
MIL,08/05/2025,3680.34
NBS,08/05/2025,6525.01
NYC,08/05/2025,10932.5
PAR,08/05/2025,7334.58
ROM,08/05/2025,3393.44
SRV,08/05/2025,2016.38
STT,08/05/2025,5862.51
MAR,09/05/2025,4223.14
BHR,09/05/2025,15100
BIR,09/05/2025,3457.5
BMP,09/05/2025,2490
CAP,09/05/2025,2364.75
CAS,09/05/2025,-574.38
ECI,09/05/2025,4384.32
FLO,09/05/2025,4822.12
GLA,09/05/2025,1820.84
LBM,09/05/2025,2862.5
LRM,09/05/2025,3143.44
MAD,09/05/2025,1570.24
MIL,09/05/2025,15978.08
NBS,09/05/2025,9140.83
NYC,09/05/2025,9800
PAR,09/05/2025,9416.67
ROM,09/05/2025,5938.51
SRV,09/05/2025,1893.44
STT,09/05/2025,8166.66
MAR,10/05/2025,3359.5
BHR,10/05/2025,5035
BIR,10/05/2025,3098.75
